reviewId,userName,userImage,content,score,thumbsUp,appVersion,at,replyContent,repliedAt,scam_related
54551028-6979-41fd-9f8c-8283de6208f8,Emese Bartha,https://play-lh.googleusercontent.com/a-/ALV-UjWVDACRjeFzr4FI9ZyHC1arxPlOEckrFxTEW-OB5I8sawUQjbk,"Positive vibes, great atmosphere, really nice people, well organised, thanks 😊",5,0,1.24.1,2025-01-10 07:11:42,,,False
fab3d131-2e19-4ffc-96f9-3c52e9e9b778,Jan Binder,https://play-lh.googleusercontent.com/a/ACg8ocIekY7S4KkuS0LdxET-fL1k6Tsl2nH_xgl_UQLA4aes9dPo9g=mo,"Viele Treffen, echte Menschen und nicht rein virtuelle Accounts",5,0,1.24.1,2025-01-08 10:40:11,"Hallo Jan, wir freuen uns, dass du bisher gute Erfahrungen sammeln konntest. Wir wünschen dir weiterhin viel Spaß mit unserer App 😊 LG, Maela.",2025-01-09 16:35:11,False
2936988f-725c-4e41-951c-bf2ab557adc4,Salaheddine Nassir,https://play-lh.googleusercontent.com/a-/ALV-UjXfzQj8dwengEZx6BzbEt4eKUD7tuZ9Clb_Gchnqs_hNXYu-K4,So bad I can't even describe it,1,0,1.24.1,2025-01-05 09:45:31,,,False
51ee17d3-d03d-4f99-b8c2-05cd40ba6271,Dorina Kamp,https://play-lh.googleusercontent.com/a/ACg8ocLf2xHf3rX2N2RfC1mtRfKQ2Sl52WfAYjvF9cFUMTK-WDmtXy_6=mo,"It's necessary for one party to pay premium to have a private chat with each other. So it's not a well suited option for people whom may need more of a personal contact to cross the social barrier. The costs of the premium version outway the benefits (roughly 100 euro for 6 month). It's just a basic app, nothing fancy nothing special. Moreover, there is also no Browser option available, even though the high pricing policy. I strongly recommend different applications eg. Meetup, bumble etc.",1,2,1.24.1,2024-12-29 11:21:22,"Hallo Dorina,
erst einmal danke für dein Feedback. Alles rund um Gruppentreffen kostet nichts: Treffen starten, teilnehmen, Leute einladen. Nur extra Features, wie Chatten oder Einzeltreffen kosten.

LG Carsten von Meet5",2024-12-30 10:29:47,False
268b8b58-194d-4b18-8a36-15dab534f609,Rasaq Segun,https://play-lh.googleusercontent.com/a-/ALV-UjXb5wqqJ4KVTWMaZi0ZHZj0mrZrOPMvvtSUsx1CwB2wUCXQ25Z_,Cool,5,0,,2024-12-29 02:37:00,"Hallo Rasaq,

herzlichen Dank für deine Rezension.

LG Carsten von Meet5",2024-12-30 11:00:37,False
f7668cd3-eec7-4dc7-861a-5daca9008e17,Bram Luiken,https://play-lh.googleusercontent.com/a-/ALV-UjX2F22ahlTQE0k6OjJEd76zpBZSWBdfp9MrMBdrVBqhO59NnJgz,"As soon as you have an account, even when its still blank, you will be approached by tenfolds of people that are very interested in meeting the blank account. It immediately floods your email with all these requests. This is the perfect app if you want to befriend people impersonating automated marketing systems.",1,1,,2024-12-20 13:28:24,"Hallo Bram,

unsere Sicherheitsmaßnahmen sind hoch - KI-getrieben oder manuell. Alle unerlaubten Kontaktaufnahmen zu verhindern in dieser Zeit ist annähernd unmöglich. Wir sind überzeugt unseren Nutzern trotzdem eine komfortable und sichere Umgebung bieten zu können.

LG

Carsten von Meet5",2024-12-27 15:34:28,False
693e3347-7c83-4172-9273-3300e5b1b5ab,A K,https://play-lh.googleusercontent.com/a/ACg8ocI1lt9YfnoBCTAs9txivd30xKNSK0WVHRozW5VXQgJLDN38lg=mo,You can't see anyone in 20s-30s. Everyone seems to be 50+.,3,0,,2024-12-18 00:24:16,"Hello, yes our target audience is over 40 years. Nonetheless, there are a lot of people younger than that in the app. We try to make meetings for younger people in the future. Greetings, Maela.",2024-12-20 09:39:33,False
dc3c2ea6-338f-4592-a28b-54c951e87598,Alex PB,https://play-lh.googleusercontent.com/a-/ALV-UjWeLZkx0KNdJ09YQkBS_DieCxGzLiE2-cIXNQ6p89lG4sk08co,"Maybe good only for people that want to pay for anything, even sending a message. I understand the effort in creating an app, but at least a time limited to see if it worth the money. 1 star because I couldn't use the app at all without paying",1,3,,2024-12-15 08:31:25,,,True
b0a32e38-9e3b-4cdd-8f7f-150b1cf0c80e,Sir Olf,https://play-lh.googleusercontent.com/a/ACg8ocLS6vgcrBQ4VXPFFRtlr8MQEGrojM1-Jf3W4qBNbikapk9AdOs=mo,You can't chat with people for free. You have to pay at least 70 Euros for a 6 month subscription to do so. This app and it's developers are a serious scam for charging such ridiculous prices. There is not a single option to subscribe for 1 day or 1 week. Just outrageous.,1,4,1.24.1,2024-12-14 20:31:02,,,True
c94af30c-c929-4d22-83cb-0f20b83b9146,Isa Garcia,https://play-lh.googleusercontent.com/a/ACg8ocK-OXkHKmDvoncrUNPT1RBde9ItMVxrjyzunHQ4aFJ3hJJpJg=mo,"I downloaded this app, just to meet new people (men and women), and without paying, basically it's not possible to chat, see other people profiles. Not worth it!",1,1,1.23.1,2024-12-07 23:16:06,,,False
