reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,scam_related
11af71f7-9074-4d21-8fd5-32b8cb2115e4,Thijmen Sturkenboom,https://play-lh.googleusercontent.com/a-/ALV-UjWPyfAVyeyERjvvhuc1gTn-i7fLXCgFz5s6KIESQVSwBq8sSjSCoQ,"It's a very expensive scam, don't fall for it. They promise you allot, but they won't deliver. In reality, you have more chance just sending messages on Facebook to random people then use this site. Don't fall for it!",1,0,10.42.0,2024-11-06 08:51:07,"Hi, we can understand your disappointment - dating is often a process that takes time and patience. We recommend that you check your search settings. It can be helpful to adjust them to be introduced to more or different singles. If you have any questions, please contact our customer service (kundenservice@parship.de) Lara from the Parship-Team",2024-11-11 11:27:10,10.42.0,True
5b77b9b5-5569-47e8-b3b8-35b3375bbe00,Fabian Winkler,https://play-lh.googleusercontent.com/a/ACg8ocIdtcXBFfj4NQh3FFu-iRxcs70LRvALoOz5fHFKWpc9REMseA=mo,"Teuer. Als Mann ein totaler Scam, enorm viele Bots/Fake Accounts unterwegs. Ich habe die App kaum benutzt, aber von etwa 20 Matches waren vielleicht 5 Personen echt. Die Programmierung ist auch müll, und das bei dem Preis.. manchmal kommen Nachrichten einfach nicht richtig an, man muss die App schließen und neu starten oder ständig aktualisieren. Und Benachrichtigungen gibt es dann auch nicht. Meine Chatpartner (die wenigen, die ich hatte) konnten das bestätigen. Nie wieder Parship.",1,0,10.42.0,2024-11-03 09:57:52,"Hi, wir nehmen die Sicherheit unserer Mitglieder sehr ernst und ergreifen umfassende Maßnahmen, missbräuchliches Verhalten schnell zu entdecken und zu unterbinden. Bemerkst du Auffälligkeiten, kannst du das Profil über den„Profil Melden “-Button melden. Bei Fragen auch rund deiner technischen Schwierigkeiten wende dich an kundenservice@parship.de

",2024-11-11 11:16:38,10.42.0,True
a5b27b3e-109a-4515-91aa-59fe47b8bd4b,Hesham Muntasser,https://play-lh.googleusercontent.com/a/ACg8ocIxBRCEkO1dFhyvhwEwKZ5xVT96dkTCI_3gxfQDtPji0TYHeQ=mo,"The app is useless without the premium membership, there are hardly any active users and the few functions are only availabe to paying members. Cancelling the subscription is impossible, despite many attempts and impersonal, cold responses from their customer service. No humanity or flexibility, just out to make money. Absoult disappointment, please don't use this app, i swear it's a Scam",1,0,10.38.1,2024-09-06 14:30:41,"Hi, there are various reasons why we cannot offer our Premium membership free of charge. The fees enable us to invest in data security and the development of new features. It can help to optimize your search criteria to get more partner suggestions. Greetings, Lara from the Parship-Team",2024-09-07 11:13:17,10.38.1,True
067fd452-53ba-41c1-b09c-c865e3ff4cb9,Rajeev Raman,https://play-lh.googleusercontent.com/a-/ALV-UjWGGfd1CWbzFVeL45H-I6feyH36X5xT9Z8bUtK4byL0rfSc6Aca,Most of the profiles here are fake. fake profiles are created by Parship own people. Be careful! Zero star,1,0,10.38.1,2024-08-30 17:04:46,"Hello Rajeev, we only want real people with real feelings. We work tirelessly to keep fake profiles away from our dating app. Unlike dubious singles apps, we have never paid third parties to exchange messages with members and thus raise false hopes. For questions please contact: kundenservice@parship.de",2024-08-31 13:13:44,10.38.1,True
84d25925-61d8-4fb0-a06b-0a4961338baf,Edmar Oliveira,https://play-lh.googleusercontent.com/a/ACg8ocJyZawiAeK3TfE00cHMZpC_herRpY7oiiJj7SRLp7mNu_WYMw=mo,"SCAM and MONEYGRAB app. Works bad, bit mainly its a moneygrab. You cant cancel the service even if you hate the app. They force you to cancel the subscription, and you need to subscribe in order to use or you cant even see people's photos. They tell you it can be cancelled only by e-mail with a written letter (which is already an indication of a scam), bit you send the Letter and they tell you it cannot be cancelled. DO NOT GIVE THEM YOUR MONEY.",1,8,10.33.0,2024-07-01 17:02:30,"Hello, thank your for your feedback. Cancellation is possible at any time by e-mail, contact form or mail. Please contact our customer service with your request. You can reach our colleagues at kundenservice@parship.de. Best regards, Paula from Parship-Team",2024-07-04 14:55:33,10.33.0,True
6503a869-4ec8-4e86-b543-332deffff9df,Mark Hilton,https://play-lh.googleusercontent.com/a/ACg8ocJfHSelRvO6Hl1Fx2pXcIQbV12tjETlsy7eOALTM2rWo3qELg=mo,"Scam that tries to get you money, everything is behind a paywall, without membership you can't see photos or send messages. Never would recommend Quit lying about ""developing"" you are just trying to manipulate and suck some shekels. It not even possible to continue conversation without paying 35 euros a monts",1,3,10.29.0,2024-04-27 00:32:51,"There are various reasons why we cannot offer our Premium membership free of charge. The fees enable us to invest in data security, the development of new features and a customer service team that is on hand to answer any questions you may have about using our dating app. Best regards, David from Parship.",2024-04-24 19:09:13,10.29.0,True
03503ecf-c81d-4981-95b2-23e840fd6a23,Huja Mbenga,https://play-lh.googleusercontent.com/a/ACg8ocLw8i3a5QkH1nzzEv6siSwUODd8l1jw4ifWg98hsw2yTviLCaE=mo,"Hello, ladies and gentlemen, I have to give this advice to each and everyone of you. Do not use this app because they will scam you. Even if you find someone you cannot leave this app because you will have to stay for 2 years",1,1,10.27.0,2024-04-02 14:35:42,"Hi, I am sorry to hear that you are not happy with our service. If you have questions about your contract, please contact kundenservice@parship.de Greetings, Lara from the Parship-Team",2024-04-03 11:14:00,10.27.0,True
b96f2cb0-9f9e-44e3-bef0-90b1986ddc4a,Bart Vdh,https://play-lh.googleusercontent.com/a-/ALV-UjVSa2WXp5ApcCTm2FzKV8j5EDDqXgR2ON0_QCK55C738l2tdx7A,"Scam warning. I cancelled following the instructions found on their website. Still got billed for a full year a second time. Plus I got nothing out of it. Edit 27-02-24 As a response: I already did 3 working days ago, but no replie so far. I also tried to get access to my account to make screenshots from my cancellation, but I dont get access with my old password. I asked for a new password 2 times but didnt get an automated response.That means my account is deleted. Its in the hands of my bank",1,10,10.25.0,2024-02-27 12:21:33,"Hi, We (the social media team ) do not have any access to members data because of privacy protection. Please contact our customer service regarding your question. You can reach our customer service here: kundenservice@parship.de Greetings, Lara from the Parship-Team
",2024-02-27 09:36:11,10.25.0,True
e5e97702-52f9-4674-b4bf-4045b47fb418,Alexandros Spyrakos (Alasdair Phoenix),https://play-lh.googleusercontent.com/a-/ALV-UjUz0y2S9tr-xHzW-__HnGoHw9YsBVesnS7wOzyJ71e6W0KIzcSA,"It is really a scam. It is an app that must not exist in Google store. I must pay also for a year, and of course I cannot change it. It is the second day that I have this app.",1,4,10.21.0,2023-12-27 18:41:27,"Hi Alexandros, the prices for our memberships can be viewed on our website. When you buy a membership, we clearly and transparently inform you of the costs, notice periods and membership fees in the event of renewal. If you have any questions, please contact us: support@parship.co.uk. Best, Louisa from Parship
",2024-01-11 10:22:38,10.21.0,True
cb43f0f9-b8ea-41fb-807c-db8112a63b63,Vera Blanken,https://play-lh.googleusercontent.com/a-/ALV-UjXPP7-9keZnl_fxzKbWXtnw9cZN6KEygJv7ERHIX-6dCQ2KK8EC,"One big scam, PLEASE NEVER GET A SUBSCRIPTION! it's impossible to get rid of it afterwards😡. My suggestions were also no good, not enough singles near me and the ones that were relatively close weren't a match for me.",1,10,10.5.2,2023-05-16 20:07:50,"Thank you for your feedback! We want to make dating appreciative, sincere and exciting. That's why we always listen to your concerns and you can always contact our customer service: kundenservice@parship.de",2023-05-18 10:27:05,10.5.2,True
