date,review,rating,isEdited,title,userName,developerResponse,scam_related
2021-07-28 23:53:05,"I'm a paying customer because it was the only way for me to see who were supposedly wanting to meet me. Some I've messaged to simply say hi and they are bogus accounts or fake people pretending to be the person on their profile. Also my messages don't even get sent out to people I actually do find interesting enough to message. This dating site feels like a scam.. I've been a member more than once in the hopes of meeting cool folks.. but I'm being showing my matches are people that are way too young, or the opposite sex, and the constant glitches are ridiculous the app works intermittently. Before being a paying customer I had all the people supposedly wanting to meet me.. now I'm a paying member and nothing happens., then you want more money for some other feature to be seen first... or more...Like really guys.., the key is to keep customers coming back or spreading the word so that you get positive feedback and more clients. My membership is over in Aug.. which I'm sure on my last date before it expires .. I will mysteriously get people wanting to meet me. This app is like a fake gas station.. you pay for services not rendered... some of us have no time to find dates on the outside and the dating site is more feasible... now I'm not so sure.. and I waited and put off many times to give a review because I kept hoping for a different outcome.. no bueno, I don't recommend this dating site unless you have time to chat with a fake person or looking to screw.",1,False,Sorely disappointed,La}£¥10,,True
2019-07-28 22:55:25,"Where do I begin let’s start with your personal programs that you have added into your system with all the fake profiles the fake likes only to try to generate people to pay monies for things they don’t need like your meat meat program aside from that all of the prostitution fake profiles and your scammer profiles all from Guam and places of that sort or Ghana 
You also have a few people who try to put a party together for their local bar and a Call it a mixer for POF people however it’s a joke and 90% of the time it’s a sausage fest let me give me the first big reason why you put it in the slums of the city pub or a bar that has no class at all is it going to attract classy upscale nicer people people don’t want to go somewhere park the car and worry about it being broken into just to try to meet someone that you’ve never met before it isn’t worth the risk also you should have some kind a real program in there where people have to upgrade your profile at least monthly so we’re not having pictures from 10 years ago when they first joined this is just the beginning of My complaints as I’ve said in many of my messages I’ve sent to you to get people kicked off the site or even block them you should be paying me to help educate you on making your profile a true wonderful place to meet people because it’s actually more like a swap with all the fake profiles and the scamming that you yourself do as a company POF you should be ashamed of yourself",1,False,The review,romeo james,,True
2024-01-01 22:54:26,"…and that’s saying something considering how many terrible dating apps there are out there. Once you set up a profile, and begin to search. There is an option to change your search parameters to search for either everyone, or just women, or just men. When you enter to change the search parameters and include only men, and then return to your search profiles again, both genders still show up, effectively ignoring the changes you just made to your search parameter preferences. In addition, the is also an option to change the ages for your search, as the app defaults to +10 or -10 years from your age. This feature allows you to change the slider to widen their age range, but yet again, when you attempt to search using these changes, the app doesn’t recognize the changes you made. And don’t even think about using the website to make changes with which to then search profiles, because making the same changes on the website also don’t apply. I downloaded this app. I installed it. I deleted it within an 1.5 hours of downloading and then installing it. Other apps may be bloated with fake profiles and fake accounts and bots, but this app is by far the worst because of this lack of functionality, which should be easily correctable, but due to lazy coding, or just lazy developers they just don’t even bother with correcting the lack of functionality.",1,False,Worst dating app there is,Pokrplayr,,True
2023-04-06 21:15:18,"For 6 months I received mutual match’s but when asked the person they never put a like. Over a hundred that are supposed to like don’t reach out or respond. Today was the topper . I went to school with a gal and said let’s try this out. She put a like in to me which I did receive. So I responded to her Hey it’s a beautiful afternoon how are you? HAHAHAHA She never received it . They don’t want you to find anybody weather your a paid member or not. We did it again she got it and responded but now I didn’t receive it . What a scam ! Beware POF meet me and skout amongst others are one company. Don’t get frustrated. Don’t waste your time. Go out to eat parents without partners. Or a adult crowd weekly gathering. Where are you actually see the person communicate with the person and physically know they are for real‼️‼️‼️ People listen loud and clear not believe me, it’s a fact it will open your eyes to see the scam that they are running . You probably won’t get this because all I see is pages and pages and pages of great reviews. Which are most likely made by the company. ‼️‼️‼️‼️‼️‼️
Really funny ha ha ha I keep sending the message. It says it went through, but it did it.",5,False,WARNING ⚠️ Scam site,longhorn1963,,True
2021-11-21 07:29:04,"I cannot say anything positive about the app and the service of POF. The idea that I can still ‘view’ possible matches of those who have blocked me is ridiculous. See who liked you, ok I click on them and am told you’ve been blocked by this person. Ok… there’s no way to clear this list that i could see, so all my ‘matches’ are either people who have blocked me or ones I am not interested in. I have my preferences set to what I am searching for, and constantly receive possible matches outside my preferences. The app will also refresh on its own- right in the middle of loading profiles to ‘meet’ people it will refresh and be blank. Then if I close the app and reopen, it’s loaded with people again. Super frustrating. And the spam, oh my god the spam/fake profiles are absolutely annoying. Even when I report a spam file, clearly spam as i receive messages with the typical: hello! Followed by: Are you there? I report it, and the they are still in my matches section. When I click on the profile thinking.. didnt I report this person? Surprise- you blocked this person, ok so delete the profile! I paid for two months but get so frustrated I don’t know if I will last that long. I want to stay because I paid for the upgrade and I want to see if anyone is out there for me, but this app is the worst ever in terms of a dating service. I would not recommend this to anyone.",1,False,Worst Product Ever,Nurseboy19,,True
2023-07-30 22:38:54,"DO NOT EXPECT TO MAKE ANY REAL FRIENDS HERE. THIS APP SHOULD BE BANNED. It is a hotbed for crypto promoters to scam those who are using this as a platform to seek Friends. They know these people have issues meeting real people so they seek friendships virtually and this makes this app infested with virtual currency or NFT promoters or scammers who pretend to be real person. Everything in this app are virtual. Virtual friends and virtual gifts. POF had live streams and video chat. But that’s only if you are willing to spend money to buy virtual gifts to chat with your favorite love streamer which can add up to a money pit before you know it. Searching profiles are severely limited in terms of distance to specify: many personal profiles more than one hour away which is very annoying and useless. The only filter to specify is which country to search. Thanks a lot! Furthermore, be aware that too many people are fake. They will always have photos that are too good to be true, too professional looking like models. Something needs to be done to get rid of them as they make up a large chunks of the profiles who try to get you off the platform and tell you how great bitcoin short term investments or NFT are. In all, this app should be banned or the app creators should do a better job of verifying the identity of the users which currently do not exist and that makes this app full of fake profiles and scammers and bots",1,False,full of crypto scammers and promoters,charles6865,,True
2018-05-07 23:56:22,"I have messaged people on this app for a while now and received but one reply. This reply was from a bot trying to advertise. The time spent trying to create an account (putting your heart and soul into it) so you can hopefully meet someone that you would spend the rest of your life with is a waste. If you do not subscribe for paid services, you will be trolled by the app itself with random bot accounts. You will see people who are interested and want to meet but won’t find out that these people are obvious bots. Once you find matches you will go through an endless supply of “people” logging on to say they are interested and want to meet up but, they will never respond to your messages. The messages will go unread forever. This is Weird because if they were interested and wanted to meet then, they would respond. Also, I have been added to “people’s” favorite list at least 20 times over the past two days. Once you subscribe and try to find out who these matches are that found you so interesting.....you are let down because their account was deleted or removed by POF. Seems like a scam to give the perception that someone is always looking. If you want to waste your time and money....well really....your life.....download and pay for this app. I’m not sure what the legitimacy was given by the comments previous to mine but, they are wrong. Please don’t waste your time on this app.",1,False,Complete waste of time.,MilGuy1990,,True
2023-05-11 14:11:52,"You have to go through all profiles no matter the distance. Got rid of filters feature that allows you to see new matches and those closest. So now one is stuck sifting through each single individual profile. Wastes time. STOP DELETING my review. Do NOT subscribe or pay for this dating app. Be warned. This app is trash. Used this site last year and this year for a few months. Last year was scammed and someone got my banking information. This year accounted deleted for no reason. The scam artists use the same standardized questions to con you into obtaining personal information and taking conversations off site. Questions are: how long have been on this site; I’ve been overseas or I am overseas and will be returning to the United States, I’m in the military, what are you looking for; I’m not on here that much what is your email or do you have Snapchat WhatsApp; and so much more. They also will not give you a refund not that I would ever pay for this site. They also want photos. This dating app is fraudulent and deceptive. Go elsewhere. This app takes trying to match with individuals to a whole new level. They can’t read, they are scammers who start by saying where are you from, what are you looking for, how long have you been on here, your smile etc. this app is terrible",1,True,Stop deleting my review Got rid of filters to see who is closest,hobolake7,"{'id': 31560973, 'body': 'Hey, this is Emma from POF - let us help you out sorting this, if the images are not breaking any Guidelines and/or Terms of Use, we can help you figuring it out. \r\nAre you able to send us an email at memberexperience@pof.com?\r\n', 'modified': '2022-08-19T22:17:03Z'}",True
2018-01-02 02:11:03,"This site is full of trashy people. I used this site and app for a good amount of time, even when I dated someone for a period of months I kept my profile in tact until I felt things were more serious. Having said that, I have some time invested and this is my experience. My profile was classy and very clearly showed my intent for long term, and that I'm family oriented, yet..
-The site is full of obnoxious guys who were dishonest, fake profiles, or had plain disgusting behavior, and I constantly had to sift through this crap. 
-I received way too many messages from guys who were clearly looking for a hook up along with other inappropriate messages. POF doesn't seem to care that I had to deal with these jerks constantly when I'm not displaying anything to invite that kind of harassment. It is harassment and it gets old. 
-I finally got fed up and responded to the last jerk who asked if I wanted any D (you can figure this one out I'm sure), and I said, I wish you were dead. A week or so later POF appears to have closed my account. Wouldn't be surprised if that gross pig of a man is still active on there though. 
In the end, thank you POF for closing it. I signed up elsewhere and the difference in quality of people is significantly noticeable. I only regret that I didn't try other sites sooner. What a waste of a decent persons time.",1,False,My last choice for a dating site...,Padoodle330,,True
2019-08-22 22:54:13,"I’ve used a few of these, including match and okc. I’ve found pof to have more real women on it that are looking to meet and not just have a text buddy while they hang around with their cats. It does have scammers that send you links but I kept reporting and blocking those and they dropped away pretty quick. The search function doesnt usually do anything. It’s really just random. I’m looking for women above 5’10 and it just sends whatever. The app loves randomizing what you see, like every window has a line of visible women in it. These reset on their own so if you saw on in the messages window and went to the message, any women you wanted to look at would be refreshed away. Stupid programming, it can be very frustrating if you see a woman and it deletes her. Bet you’ll never see her again! 
It also definitely is sending me false “she wants to meet you” pings. Lol you can see on her profile she never viewed you, or she hasnt been online in a week, and women arent sitting there swiping right. I paid to meet real women and that’s fraud. 
In conclusion the pool of cis women looking to meet is better, but like most things now the app is rendered near useless by faith in garbage algorithms and stupid marketing strategies.",3,False,Tech gone wrong,Happyostrich,,True
