date,review,rating,isEdited,title,userName,developerResponse,scam_related
2024-11-28 08:20:11,"To all the guys out there hating on Tinder, I get that there are scam/spam profiles, and that’s a downside you’re going to find on pretty much any online dating app. If you know how to spot them, it’s not hard to weed them out. The majority of these reviews go on about there being unrealistic standards, having to be either rich, super attractive, or just a “top tier” man in order to get matches, but what do you actually expect? Work on yourself first, get your life together, build whatever it is that you can be proud of and confident in before putting any energy into a dating app. Those things will reflect in more ways than just online dating, and the rest will come later. If you really want to learn how to attract other women, there’s also plenty of resources out there that are available on how, even if you’re just average or below. Whether it’s for just passing the time or any other reasons you could be on this app for, this should never be priority in your life. I don’t think I’m top tier by any means, but I’ve met several women on here throughout the years, a couple of them turned into serious relationships, and I haven’t had any regrets. Asides from that, Tinder is the OG, I prefer its interface over other dating apps, and it works as advertised.",4,False,Look…,Dead1nside95,,True
2024-07-10 12:26:26,"Profiles are either fake or old or the people are genuinely not that serious about what they claim they are looking for. Seems as though they’re a lot of “look at me” profiles such as instathots , attention seekers, would be porn actresses and Escorts and women who constantly self sabotage themselves by acting as though they  cant be bothered with the app while simultaneously having a profile on the app stating that they are in fact looking. To send messages cost a fee, To see who likes you cost a fee, To boost cost a fee ….apparently one can actually run out of people within a 10 mile radius, which is odd considering the volume of people in my area.

Then after you actually meet someone as in have a convo they flake .In my honest opinion there should be a money back guarantee if a person cannot meet a person off this app..because its constantly taking money on a chance that you will meet someone and thats nothing more then a gamble… yes you can swipe through profiles but whats the point when there are sooo many obstacles put up in front of you then on top of that you have to pay fees for separate perks. Id say guys meet some one outside of the app or travel outside of the states  because the dating market is getting ridiculous at this point.",5,False,Scam/ waste of time,EdoKamiisama,,True
2024-08-31 14:30:16,"I’m not going to lie I’ve been lucky with this app in the past. I’ve dated a good number of people and made good friends off the app over the years, but recently? I’ve even seen women make fake account as men and get matches with people and it’s quite literally making them depressed and frustrated with the app and dislike women because their swipes literally mean nothing. If you do finally match it’s only ever one message and that’s it or it’s a bot. More often than not girls with social media in their bio are bots and are trying to sell OF and I’m just getting really frustrated with the whole premise. The idea behind online dating was to help those who would otherwise not have the opportunity to socialize or properly engage in courtship in a random setting. It’s supposed to be a tool to boost confidence and allow people to engage more. It’s literally now a hot or not app and profiles are literally being scooped off dead social media accounts- they have first and last names- and it’s genuinely not worth anyone’s time or money anymore. Do yourself a favor and save the time and money, find a way to get a Saturday/Friday night off, have *one* drink so your anxiety goes away and just start chatting with people at bars. You’d have significantly better luck and be able to actually gauge why you’re being rejected, rather than dealing with this ever rotting app",1,False,Online dating is trash,JackleMercury,,True
2024-09-27 18:58:34,"I do not recommend this app as it’s extremely low quality for dating prospects. So many nice profiles are fake accounts and scammers asking you to get on WhatsApp despite having a photo verified on their profile. Fake accounts of people who message you one thing and never respond again. Men desperate for hook ups that won’t try to get to know you unless they can get you to agree to a hook up before even meeting, very transactional mindsets. Then you have people who demand they’re catered to in their profile. After you filter through all of that the quality of people are really bad. If you find someone who knows how to keep a decent conversation going good luck because most do not have serious intentions of meeting. A good looking person with a personality with their stuff together is a rarity. I got tons of matches and thousands of likes but most profiles were fake or dead accounts. This is the worse this dating app has ever been. As I said before; most accounts are highly fake, you get the same cycle of people you swiped left on continuing to pop up and some people who are just plain weird. Most people you’re shown are not attractive. To get to a point where you’d even meet someone on this app is rare because of so many bad actors, scammers or someone trying to manipulate you. Would not recommend.",1,False,INCREDIBLY BAD,Gale22,,True
2024-09-27 04:43:38,"They take ur money and leave u with nothing in return. I have decided to update this to tell you all the tinder isn’t an app for both men and women no it’s an app for women based on the facts that a man can swipe right on every woman all day long and get no matches even the women that aren’t a 10/10 won’t even look at those men unless the man is a 10/10. To put it simply woman are delusional and disgusting I paid this app for quite some time and got nothing and to add to that I have gotten banned now three times and i think it’s because I look underage but I am an adult trying to find a woman to be my wife. The first two bans I have gotten them to reverse but this last one they would not reverse like y not add a feature that uses my drivers license to correctly id me and then prove that I am the age I say I am. For all men out there who are Greek gods plz don’t support this scam it will only make u more depressed. Yall would have about the same luck as flirting with a brick wall than using this trash can of an app. But in the view in the more brighter things in life this app has shown me that I do value my religion more than my relationships therefore I would love to find my soulmate on here but alas I am permanently banned and lost on how to even achieve this. Veni, Vidi, Vici. (I came, I saw, I conquered.) “Julius Caesar”",1,False,Scam and doesn’t work,Johndoedalegend,,True
2022-11-22 17:16:32,"Imagine a slot machine where you invest your time, money, and dignity only to receive fleeting moments of self-worth while gradually deteriorating your self-esteem until you’re hardly sure of your own value. This is Tinder. I have paid for Tinder platinum for 3 months now, I have spent countless hours swiping, editing and adjusting every small detail of my profile, used all the boosts and super likes and still have ultimately made little to zero progress in the dating realm. Now I know what you’re thinking, I must be doing something wrong, being creepy, boring, or not posting the right pictures or something but I try my best to avoid those specific issues as best as possible. I’ve had more success on hinge without even paying a dime for their service and yet here it feels like they are constantly demanding you for money just to be slightly prioritized for a very short period of time. Not to mention the sheer amount of bots, fake accounts, and people simply not using the app, or only using it to promote their brand is frustrating to say the least. I’m just not sure there’s much you can get from this app other than shallow physical encounters. There is not one other app that has caused me such mental anguish. I wish I could say anything different.",1,False,Shallow and Fruitless,bartledoboy,,True
2024-03-02 02:17:13,"So I paid $50 for Tinder gold, which comes with certain features you get pushed to the top of the list so you’re seen more often, you have unlimited “top picks”,  you can send a message with Super likes…
During the one month. 99.9% of my matches were fake bots or scammers! In the entire month, I may be had 3 of top picks. It constantly said none were available. Then, on a day I did have a topic there was only one to choose.. interestingly, the second my subscription expired, the app is now showing me seven top picks! This app is complete fraud. I would love any attorney to reach out to me as I have multiple screenshots of the 100s of fake accounts and the rampant fraud on this platform. I got tired of reporting the fake accounts when I’m a paying customer, it’s not my job to sort through all the fake accounts this platform is defrauding users and it’s completely unacceptable! They are defrauding Shareholders of Ticker MTCH I plan to launch a full investigation as I have sent an email and the company refused to respond to my complaints or issue a refund. They allow bots to fill their database in order to make fake advertising money. They are defrauding  users. They are defrauding advertisers and should be put in prison for their crimes.",1,False,This app is fraud! Class action anyone?,Ed Naso,"{'id': 42336582, 'body': 'Sorry to hear that. We agree that this isn’t a nice experience, but we can assure you that we put a lot of effort into moderating inappropriate behavior. If you come across a suspicious profile, please report it directly on the app by opening their profile and scrolling down to ‘Report’.', 'modified': '2024-03-03T12:33:08Z'}",True
2023-01-01 00:38:42,"I used tinder a few years ago, it was a lot different. I was getting likes on my profile every day, at least one, I paid for the gold once for a month and I eventually found a girl that I dated for the last 3 years. We split up and I chose to download tinder again assuming that I would have the same experience. This is not the case, now there’s 4 different memberships to choose from, you have to pay for everything. I started out for the first 2 months not paying a penny, I would get 3-4 likes on my profile a week at least. As soon as I paid for the gold membership for the last month, I have yet to receive a SINGLE like on my profile but I am getting tons more push notifications to buy or pay for boosts or super likes. Not to mention only about 1/6 people that do like my profile don’t send me a message at all, leading me to believe those are the fake profiles that tinder makes to keep people hooked on buying and paying for extra stuff. I’m not an ugly guy either, I know I’m not that boring to talk to either as I don’t ask dead end questions or talk about myself almost at all unless asked. I do not recommend to use this app unless you are casually swiping and don’t mind being bombarded with ads to pay for things.",1,False,Money fishing app.,Caden Lyman,,True
2023-12-27 01:02:27,"It's good for what it is. You meet a lot of people because it's very active at least in my area. The only thing keeping me from giving it 5 stars is the fake profiles/bots that are on the site, but that seems to be getting taken care of because I'm getting less of them. Now that you are charging tinder get rid of the fake profiles at least.

Update Overall it’s been pretty good experience I have had two meet ups made two friends. I probably could have met more if my schedule wasn’t so crazy right not, but that’s just dating and not Tinders’ fault. 

What is puzzling though is I was offered a super premium membership $500 a month. My issue isn’t the money really as much as the complete lack of communicating what the premium offered over Gold membership. It could be VIP parties, access to top a network or models, a champagne brunch or it could be exactly the same, I have no way of knowing.  Maybe Tinder is still rolling out the feature or maybe they are just taking advantage of members willing to spend a little idk. I would love to know",4,False,Good dating app,cloudmusic,"{'id': 40948421, 'body': 'Thanks for sharing your feedback. We want everyone to be their genuine self on Tinder, so it’s an enjoyable experience for all. You can report any suspicious profile by going to their profile and scrolling down to ‘Report’.', 'modified': '2023-12-28T07:24:24Z'}",True
2022-10-16 04:00:04,"I’ve had tinder for like 2 years and out of no where and for no particular reason I was banned. I didn’t have any inappropriate photos of myself, wasn’t rude to anyone & always just had friendly conversations. I sent an email- my appeal and they wouldn’t let me know why I was banned and just told me I “violated the users guidelines agreement”. If you’re going to ban me for whatever reason, at least let me know why I was. I’ve heard this happened to a few of my other friends for no reason at all too. I think that is extremely annoying because you cannot make a new account unless you change your apple ID or phone number. I wouldn’t have minded if it let me go back on after a certain amount of days but i’m now banned for life I guess. I quite frankly really enjoyed the app as well. Although it’s a HOOKUP app, I’ve made some really good friends on that app. And considering that it is a HOOKUP app, I don’t see why I was banned. I’ve had about 4-5 photos, would change my photos frequently and update my bio whenever I got bored of what I had. So it wasn’t like I was a scam or bot. Just very annoying because after reading a lot of the reviews it seems like tinder has gone downhill by banning a lot of people. Do better tinder ‼️",1,False,banned for no reason?,toasteroven5,,True
2020-11-08 23:32:36,"I hope the developers read this. I pay for Tinder Gold ($30/month, I will be unsubscribing soon). This is most expensive “paid” version of this app. I regularly “match” with paid advertisements who look like young single women. These are Paid advertisements facilitated / sold by Tinder. Should a paying “gold” user be getting hit with adds? No. Additionally, I regularly match/see women who are all 80-99 miles away. I have my radius set to 40 miles. I’m not interested in matching with someone who lives two states and a three hour drive away. Also, about 10-20% of the female profiles on Finder are fake/scammers who immediately want you to add some obscure social media account name that doesn’t match their Tinder name or picture. The app also crashes frequently (yes, it’s fully updated). If you’re looking to spend money on a dating app, you’d be better off spending money on Hinge or Bumble. Use the free version if Tinder if you like, but they don’t deserve your money. Also, I have heard from other people who are seemingly arbitrarily banned without any way to challenge or contest the ban. I guess that you can’t be accused of having terrible customer service if you don’t have any customer service to begin with...",1,False,Waste of money. Hinge or Bumble is better.,objective interviews,"{'id': 19073470, 'body': 'Thanks for your feedback! Our team would like to investigate this further. Would you mind reaching out to us at appreviews@gotinder.com from the e-mail address associated with your account so we can take a closer look?', 'modified': '2020-11-12T19:16:30Z'}",True
2023-10-21 17:28:54,"Designed for men to take advantage of women?! Major cringe. If you’re a model, you can forget it. This app isn’t for you. You’ll be banned if people think you’re “too good to be true”. I was banned a while ago, I made a new account a few weeks ago, and it was just banned too. This is so ridiculous! It’s not as if there were any cute girls that wanted to talk to me anyway. Dating apps in general are a joke compared to meeting people in person, but Tinder takes the cake for the very worst right after MeetMe. I guess I’m either too pretty for dating apps, or Tinder (an app for adults I thought? And I was not explicit by any means!) hasn’t been clear enough on what isn’t allowed in bios. Regardless, Tinder lost someone that the vast majority of people would swipe right on, and I lost access to an app that did nothing positive for me, and left MUCH to be desired. I guess I should go to clubs where they only let in women that are too good looking to be real so I can fit in and not be seen as fake, and meet girls as cute as me. But this app was NO GOOD. I met one cool guy on there back in 2016 but it wasn’t worth the time and effort in the end. Mostly traumatic experiences. Just go outside!!",1,False,Low quality guys spoiled by easy girls. Models aren’t always fake and this app is misogynistic,AbiVGoolz,"{'id': 39665625, 'body': 'Thanks for sharing your feedback. We want everyone to be their genuine self on Tinder, so it’s an enjoyable experience for all. You can report any suspicious profile by going to their profile and scrolling down to ‘Report’.', 'modified': '2023-10-23T01:30:41Z'}",True
2024-10-07 00:51:15,"I’ve been using this app for years, why you may ask? 1 in every 5 accounts I match with are fake. Women trying to get you to spend money for explicit photos, videos, or getting you to subscribe to their OF. I’m constantly flooded with women’s accounts only here for their own benefits. 7 years on this app and haven’t found anyone anywhere close to right for me. Don’t bother spending your money on this, or even installing it. Majority of it is exploiting men’s emotions due to loneliness and majority of what my male friends have experienced what I have. If you happen to install and find someone, then good for you, but don’t get your hopes up fellas. TINDER, start monitoring fake accounts, I’m adding to my previous review almost 3 years later and the fake accounts have gotten 5x worst. Your verification is pathetic, it’s EXTREMELY clear all you care about is your users spending money for nothing in return. I’ve had more luck on apps like bumble and boo than your app and based on their reputation it makes this statement even more pathetic. I find it funny how it says “Your boost was a success” too when you don’t even get a like or anything. Only success was these people stealing you money!! 😄",1,False,"After all these years, still fake profiles and people.",BeenHereManyTimes,,True
2023-01-12 14:42:33,"this has been the worst and most heartbreaking experience I’ve ever had with an app or a service. My account was banned out of the blue, with no warning or indication what I did to violate the policies. I’ve reached out multiple times to support and just been flatly told that there is no appeals process and no way that they will tell me I did to be banned. 

Aside from this being a completely humiliating, violating and and frustrating experience, I’ve received so many times graphic violent and sexual messages from men on this app and had my reports be dismissed and never taken seriously. I have always conducted myself as respectful and more conservative and I’m literally speechless as to what happened to have led to this outcome. 

On top of everything, my phone is still receiving notifications from the app of new messages and new matches clearly indicating that my profile is still up and active, I’m just blocked from accessing it. This is literally a scam platform, keeping up profiles to look like their user base is much larger while blocking people and refusing to provide a semblance of customer support for someone who even paid for tinder gold at the time I was blocked and additionally was not refunded.",1,False,worst dating app experience - scarred,arkistudent,,True
2020-11-18 17:20:05,"I've been paying for Tinder Gold for months now, and have always battled between wanting to delete the app or keeping it in ""hopes"" I'd meet someone with some substance. Is it easy to pull someone from it? For sure. 

However you're much more likely to match with scammers (that have tried to blackmail me for $5k) or fake accounts ""promoting"" their Snapchat premium accounts. Upon attempting to report these accounts, they stay up, and even attempting to notify tinder about them they never seem to care (typical). 

Now I've been banned from tinder (with my subscription just now charging me) for no reason, whereas I unfortunately had to stand up a girl at 10pm somewhere because I couldn't contact her. The app froze on my phone, so in order to get in touch with this young lady, I attempted to log into my account from my friend's phone. Upon doing the text verification , it logged me out then when my app unfroze, said I was banned. I attempted to write tinder about it, but only received an automated ""screw you"" type email. Absolutely pathetic. Especially when they advertise to ""be more than a dating app."" They made it very easy to make the decision to delete the trashy app.",1,False,By far the worst / trashiest app with worse customer service than Walmart,dbrii6482,,True
2023-06-09 12:15:33,"In the NYC and surrounding area, the app used to be good about 7 years ago; it no longer shows as many local profiles and a lot are from far away countries - I get it, people can now enable the “global” feature. Just recently they started prohibiting profiles with social media info but still shows a lot of profiles with that. I’m a man that gets tons of profiles with IG or OF or SC info, a lot of the matches are really not my type, as is NOT. I’m older in the NYC area, perhaps this is not for me anymore. But this app used to be good in this areas (for men), many other buddies say the same thing. On that note, I have travelled to South American countries, the app still somewhat much better there than in the NYC tri-state area. I wouldn’t recommend the app unless you’re going to smaller cities (ironically) or abroad, it seems to still work. Maybe people (or men) in…London experience the same issue with fake profiles, advertising social media to buy their access or out of place matches. Also, just so you know, recently there’s been reports that many men “likes” are only going thru “15%” to women, look it up. I would say, blame apps like Tinder for the messy dating scene, though women don’t help it at all. Good luck.",1,False,Too many fake & far away profiles,ErickRiase,,True
2024-10-13 14:07:43,"Tinder now has an algorithm for men accounts. I’m not sure how it is for women because I’m not a woman, but I know from firsthand accounts that I am a very attractive man and on the old Tinder I would get matches left and right not trying to be conceited or self-centered or narcissistic, but that’s just the fact of the matter now I have downloaded Tinder and I got the subscription when I first got on got a couple likes likes talk to a few people that just didn’t match with my personality so I decided that Tinder was probably not the best option for me and I went out into the real world that being said, I re-downloaded Tinder just for the fun of it and have not resubscribed gold status or platinum status and haven’t gotten a match for almost 3 months and I swipe every day now now we’re caught up so a couple days ago I downloaded MeetMe literally the first day i’m already planning a date, blah blah blah blah blah the first day simply for the fact that I’m able to talk to these people Tinder is a scam. They want your money and you will not get matches unless you spend money. That’s how it is now and that’s how it is with all these dating apps, so if you want to find a real relationship, go out and work on your social skills",1,False,"Seriously, read this",Dating reviews,,True
