reviewId,userName,userImage,content,score,thumbsUp,appVersion,at,replyContent,repliedAt,scam_related
e02b0e04-e019-43eb-8ba8-b3dbaad96138,Nader,https://play-lh.googleusercontent.com/a/ACg8ocKwk53VVTku4MmLbCKPKlvIEy63Wwc1YUbo5hbVvoGLDPLxjA=mo,"The only feature that differentiate the app from all the rest is behind a paywall? I'd rather stick to any other app. I don't want to pay to see what fruits other people are. Your app is as much a waste of time as the rest. Go on Tinder, Bumble or Hinge guys, this app is trash.",1,0,,2025-01-23 03:19:03,"Hi Nader! Thanks for taking the time to share your feedback. We're sorry you think this. Fruitz is completely free to use for swiping, smoothies, and chatting. However, we need a bit of money to improve the app and create new features. Write to us directly from the app to find out more about how it works! 🧡",2025-01-23 15:48:32,False
eae4757e-5565-4542-9e67-bd8a1c384f4d,Paul,https://play-lh.googleusercontent.com/a-/ALV-UjUS8yIC6Hl6V34lsQII_PWsBuCnxbQBMOVR3DCM8MONFCmbuX4A,"Besides the scammers and fake (french) accounts, the app offers little more than the competition. The only gimmick is the fruits, which other apps also offer in different ways. Can't comment on those looking for hookups, not my thing.",2,0,4.13.2,2025-01-21 10:24:40,"Hello! We're sorry to hear you're not satisfied with your experience. At Fruitz, we're making sure that our platform isn't overrun by these profiles. Our whole team is working hard every day to make sure our app is clean :) If you see profiles that you think are ‘non-compliant’, don't hesitate to report them directly from the app! 🍑",2025-01-21 15:38:53,True
86ce52b0-09c7-45e7-9cce-e281e18f7386,Jesse VILNA,https://play-lh.googleusercontent.com/a/ACg8ocI78br3ddjOrdLbFzNbhAAS5sWKJsmGAGSw_3nZeeotpZ2L8sI=mo,"Je suis sur que cette app est cool mais pas pour moi. Je lance l'app pour la premiere fois , je l'utilise un peu , je quitte pour faire autre chose et quand je reviens l'app se lance sur un ecran blanc qui ne disparaît plus.",1,1,4.13.2,2025-01-19 12:24:37,Bonjour Jesse et merci pour votre commentaire ! On est désolé que vous rencontriez un problème sur Fruitz. N'hésitez pas à nous contacter directement depuis l'application ou sur les réseaux sociaux afin que nous puissions avoir un meilleur aperçu de la situation et vous proposer une solution.,2025-01-21 15:37:54,False
7c277fd9-a9b2-49f0-a899-641769184412,Edouard Angebault,https://play-lh.googleusercontent.com/a-/ALV-UjVQv63VkuAejaFsgOE3JwHyjZ6AQPXXA378XbOFMPcvl-L89gnR,"App is so full of fake and duplicated accounts that are tagged as ""verified"". more than half profiles are asking to switch to Whatsapp and instagram to get your data. If you are not careful you could loose a lot of time for nothing or worse.",2,0,4.13.1,2025-01-03 15:16:20,"Hello, Edouard! At Fruitz, we're making sure that our platform isn't overrun by these profiles. Our whole team is working hard every day to make sure our app is clean :) If you see profiles that you think are suspicious, don't hesitate to report them directly from the app and we'll have a look into them! 🍑",2025-01-03 16:35:07,False
681d0c05-729a-4462-ba94-5f157dcae11a,Cody Zwiers,https://play-lh.googleusercontent.com/a-/ALV-UjV4WM0YhsBetknLqXzkSKL82Vwj9ZrpVX1DQG3zZ7y0g-dQREs,App doesn't even send a text to get signed up. Broke app. Avoid,1,0,4.13.1,2025-01-02 23:14:41,Hi Cody and thanks for your comment! We are sorry that you are experiencing an issue on Fruitz. Please feel free to contact us directly from the app or on social media so that we can get a better overview of the situation and offer you a solution.,2025-01-03 09:17:08,False
27f6781e-1213-4644-9112-4baf8608f2ed,Jonathan H,https://play-lh.googleusercontent.com/a-/ALV-UjUN_dfCeUrmC7lL8fTX2uFqqz0hNxor0qMbLvvA11N2adErn-lk,"When an app wants constant access to your precise location and denies use of the service if they dont receive it..then that app gets deleted. Approximate location would work perfectly for the purpose of dating however it won't allow the app to work unless it has your precise location. Obviously the app is doing something far more sinister with that data and so now it is deleted and gone. Bye bye Fruitz! P.S. Learn to spell, it's 'Fruits' 🤦‍♂️",1,7,,2025-01-01 09:26:51,"Hi Jonathan, thank you for taking the time to share your feedback. We're sorry to hear you think this. If you have any questions about your privacy on the app, please check our Privacy Policy: https://fruitz.io/privacy/en. We'll forward your feedback to our team for consideration in future updates. 🧡",2025-01-02 14:58:53,False
d7dc90a6-61aa-4e04-851e-a479f4d0d4a3,Kris Bonbon,https://play-lh.googleusercontent.com/a-/ALV-UjVqRR5uPe_MgiSS7fGcyDH0VAfV9QWifvFbmoEuSiF6ECODO6_p,"App qui te Force à prendre une selfie pour soi disant une vérification ! Aucune possibilité de supprimer ton compte c est contre la loi GRPD data law! Tu m etonnes pourquoi les gens disent qu il y a que des ""fakes accounts""!",1,0,4.13.1,2024-12-31 17:11:59,"Merci pour votre commentaire Kris. La vérification par photo nous permet effectivement de vérifier que vous êtes une vraie personne et que votre profil est authentique afin d'éviter la création de faux profils. Vous pouvez également supprimer votre compte directement depuis les Paramètres de votre compte, tout en bas. 🧡",2025-01-02 14:50:22,False
011317b7-3a64-489e-acc3-3607c1da429b,Ronald Auger,https://play-lh.googleusercontent.com/a/ACg8ocLvW4S6XehIQCuLyA7TEeaot4w0BXoHf6hFiamxqcar0WY4rA=mo,awesome app,5,0,4.13.1,2024-12-31 08:15:33,"Thank you so much for your positive review and 5-star rating, Ronald! Your support means a lot to us! 🧡",2024-12-31 09:43:59,False
b35b1991-d73b-4e12-82e6-71df5e0caae8,Ali V,https://play-lh.googleusercontent.com/a-/ALV-UjUly1tSsFlgTsrjZK_bu-Rfg38Gsy0b3dij5gJPGPCvz5bp0MU,"you can't use it if you're non-binary as it forces you to choose to be shown to ""people looking for males"" or ""people looking for females.""",1,0,4.11.0,2024-12-30 21:02:09,"Thank you for taking the time to share your feedback with us, Ali. Our platform is firmly committed to supporting a diverse and inclusive community. We will pass on your suggestions to our teams to take them into account in future updates. 🧡",2024-12-31 13:50:33,False
1edcd442-8482-4e1e-a464-86c29372102c,Thomas Bonuso,https://play-lh.googleusercontent.com/a/ACg8ocIN6TMf0VTJauiWv5ABl49zeCDz7uO5eD0ruNiV96WYfxk1hw=mo,Pretty restricive by way of its business model and presentation but cool to explore more than other apps.,4,0,4.13.1,2024-12-30 11:36:22,"Thanks for your feedback, Thomas! Fruitz is completely free to use for swiping, smoothies, and chatting. Feel free to contact us directly from the app or on social media to find out more about how it works! 🧡",2024-12-31 13:51:33,False
